ingr_id,catalogPhoto,name,relativeUrl
14192,https://s1.eda.ru/StaticContent/Photos/120304025019/120327191448/p_O.jpg,Говяжье филе,/wiki/ingredienty/myaso-myasnaya-gastronomiya/govjadina-13469#14192
14271,https://s1.eda.ru/StaticContent/Photos/120214124236/120327165640/p_O.jpg,Корень имбиря,/wiki/ingredienty/ovoschi-korneplody/imbir-13525#14271
14569,https://s1.eda.ru/StaticContent/Photos/120131111615/130317132218/p_O.jpg,Устричный соус,/wiki/ingredienty/bakaleya/ustrichnyy-sous-14569
13486,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132751/p_O.jpg,Шпинат,/wiki/ingredienty/zelen-travy/shpinat-13486
13584,https://s1.eda.ru/StaticContent/Photos/120328144247/120328191135/p_O.jpg,Свежая мята,/wiki/ingredienty/zelen-travy/mjata-14879#13584
13518,https://s1.eda.ru/StaticContent/Photos/120328144247/120329174137/p_O.jpg,Помидоры черри,/wiki/ingredienty/ovoschi-korneplody/pomidori-cherri-13518
13544,https://s1.eda.ru/StaticContent/Photos/120214154946/120327172448/p_O.jpg,Куриное филе,/wiki/ingredienty/ptica/kurica-13566#13544
14846,https://s1.eda.ru/StaticContent/Photos/120131082342/120329190147/p_O.jpg,Желтый сладкий перец,/wiki/ingredienty/ovoschi-korneplody/sladkiy-perec-13467#14846
14404,,Красный перец чили,/wiki/ingredienty/ovoschi-korneplody/perec-chili-13506#14404
14045,,Зеленый перец чили ,/wiki/ingredienty/ovoschi-korneplody/perec-chili-13506#14045
13598,https://s1.eda.ru/StaticContent/Photos/120304025019/120327174603/p_O.jpg,Лайм,/wiki/ingredienty/frukty-yagody/lajm-13598
14163,https://s1.eda.ru/StaticContent/Photos/120328144247/120328194239/p_O.jpg,Молотый перец чили,/wiki/ingredienty/specii-pripravy/sushenyy-perec-chili-16138#14163
13469,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132326/p_O.jpg,Говядина,/wiki/ingredienty/myaso-myasnaya-gastronomiya/govjadina-13469
13443,https://s1.eda.ru/StaticContent/Photos/120328144247/120329172922/p_O.jpg,Соленые огурцы,/wiki/ingredienty/ovoschi-korneplody/ogurci-15137#13443
13453,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131808/p_O.jpg,Молоко,/wiki/ingredienty/molochnye-produkty-yayca/moloko-13453
13426,,Сыр,/wiki/ingredienty/syry/sir-13426
13566,https://s1.eda.ru/StaticContent/Photos/120214154946/120327172448/p_O.jpg,Курица,/wiki/ingredienty/ptica/kurica-13566
58517,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131402/p_O.jpg,Вареный жасминовый рис,/wiki/ingredienty/bakaleya/ris-13435#58517
13772,https://s1.eda.ru/StaticContent/Photos/120304025019/120327185523/p_O.jpg,Кетчуп,/wiki/ingredienty/bakaleya/ketchup-13772
13570,https://s1.eda.ru/StaticContent/Photos/121018180012/130322233642/p_O.jpg,Соевый соус,/wiki/ingredienty/bakaleya/soevyy-sous-13570
